                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.4563,                 1.1429,                 1.3096,                0.66551,                0.53302,                0.56823,                 0.2672,                 1.9898,                 1.5531,                 1.6959,             0.00050404,             0.00050404,             0.00050404
                     47,                 1.4474,                 1.1257,                 1.3117,                0.71039,                0.54581,                0.58661,                0.27224,                  1.994,                 1.5212,                  1.712,             0.00049504,             0.00049504,             0.00049504
                     48,                 1.4436,                 1.1143,                  1.301,                0.62978,                0.58179,                0.58177,                0.27594,                  2.013,                  1.563,                 1.7284,             0.00048604,             0.00048604,             0.00048604
                     49,                 1.4349,                 1.1117,                 1.2961,                0.70101,                0.54043,                0.59557,                0.27311,                 1.9771,                 1.5166,                 1.6872,             0.00047704,             0.00047704,             0.00047704
                     50,                 1.4279,                  1.099,                 1.2884,                0.66859,                0.57585,                0.59323,                0.27342,                  1.992,                 1.5107,                 1.6843,             0.00046804,             0.00046804,             0.00046804
                     51,                  1.427,                  1.101,                  1.285,                0.70085,                0.55246,                 0.5949,                0.27446,                 1.9981,                 1.5194,                 1.7096,             0.00045904,             0.00045904,             0.00045904
                     52,                 1.4164,                 1.0891,                  1.278,                0.65483,                0.56536,                0.59657,                0.27822,                 1.9778,                 1.4995,                 1.6972,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.4143,                 1.0776,                 1.2822,                0.63279,                0.57362,                0.59143,                0.27905,                 1.9801,                 1.4735,                 1.6859,             0.00044105,             0.00044105,             0.00044105
                     54,                 1.4025,                 1.0623,                 1.2765,                 0.6693,                0.54035,                0.58452,                0.27925,                 2.0012,                 1.5181,                 1.6968,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.3944,                 1.0523,                 1.2637,                0.68684,                0.56262,                 0.5879,                0.27285,                 1.9936,                 1.5204,                 1.6851,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.3834,                 1.0439,                 1.2611,                0.67991,                0.56855,                0.60551,                0.27887,                 2.0169,                 1.4912,                 1.6882,             0.00041405,             0.00041405,             0.00041405
                     57,                 1.3817,                  1.038,                 1.2604,                0.72952,                0.54602,                0.60594,                0.28182,                 1.9732,                 1.4973,                 1.6726,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.3805,                 1.0422,                 1.2574,                0.69884,                0.56433,                0.59131,                0.27889,                 1.9807,                 1.4679,                 1.6777,             0.00039605,             0.00039605,             0.00039605
                     59,                 1.3647,                 1.0263,                 1.2468,                0.67191,                0.57237,                0.59584,                0.27482,                 1.9901,                 1.5137,                 1.6846,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.3599,                 1.0239,                 1.2446,                0.64956,                0.59041,                0.59562,                0.27909,                 1.9767,                 1.5162,                 1.6803,             0.00037805,             0.00037805,             0.00037805
                     61,                 1.3662,                 1.0222,                 1.2466,                0.73125,                0.54174,                0.59466,                0.27812,                 1.9723,                 1.5045,                 1.6649,             0.00036905,             0.00036905,             0.00036905
