                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2872,                0.90401,                 1.2693,                0.72967,                0.61568,                0.66667,                0.31735,                 1.9487,                 1.3443,                 1.7795,             0.00052204,             0.00052204,             0.00052204
                     45,                 1.2879,                0.90138,                 1.2658,                0.72848,                0.58569,                0.64702,                0.30976,                 1.9139,                  1.337,                 1.7636,             0.00051304,             0.00051304,             0.00051304
                     46,                 1.2738,                0.88455,                 1.2508,                0.70777,                0.57336,                0.63841,                0.31786,                 1.9411,                 1.3918,                 1.7731,             0.00050404,             0.00050404,             0.00050404
                     47,                 1.2643,                0.87778,                 1.2534,                 0.6798,                0.62503,                0.65356,                0.31586,                 1.9298,                 1.3578,                 1.7577,             0.00049504,             0.00049504,             0.00049504
                     48,                 1.2604,                0.86787,                 1.2433,                0.73396,                0.62071,                0.67335,                0.31935,                 1.9546,                 1.3643,                 1.7711,             0.00048604,             0.00048604,             0.00048604
                     49,                 1.2512,                0.86138,                 1.2378,                0.77212,                0.60894,                 0.6735,                 0.3291,                 1.9098,                 1.3119,                 1.7361,             0.00047704,             0.00047704,             0.00047704
                     50,                 1.2448,                0.84874,                 1.2322,                0.69246,                0.60772,                0.65314,                0.31995,                 1.9137,                 1.3317,                  1.734,             0.00046804,             0.00046804,             0.00046804
                     51,                 1.2416,                0.84803,                 1.2259,                0.66871,                0.64086,                0.64131,                0.31527,                 1.8992,                 1.3154,                 1.7469,             0.00045904,             0.00045904,             0.00045904
                     52,                 1.2371,                0.84568,                 1.2201,                0.69257,                0.62015,                0.65046,                0.31586,                 1.9049,                 1.3511,                 1.7327,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.2264,                0.83565,                 1.2202,                0.73363,                0.61618,                0.66387,                0.32114,                 1.9261,                 1.3252,                 1.7688,             0.00044105,             0.00044105,             0.00044105
                     54,                 1.2203,                0.82289,                 1.2189,                0.71383,                0.63223,                0.65236,                0.31494,                 1.9322,                  1.348,                 1.7564,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.2104,                0.81356,                 1.2072,                0.72663,                0.59924,                0.65512,                0.31118,                 1.9394,                 1.3437,                 1.7591,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.1968,                0.80393,                 1.2023,                 0.7259,                0.61459,                 0.6452,                0.31918,                 1.9053,                 1.3181,                 1.7402,             0.00041405,             0.00041405,             0.00041405
                     57,                 1.2029,                0.80658,                 1.2066,                0.73703,                0.61002,                0.64878,                0.31795,                 1.9179,                 1.3497,                 1.7568,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.2014,                0.80666,                 1.2045,                0.70126,                0.62163,                0.65906,                0.32034,                 1.9328,                 1.3158,                 1.7645,             0.00039605,             0.00039605,             0.00039605
                     59,                 1.1838,                0.79534,                 1.1934,                0.72686,                0.61512,                0.67314,                0.33335,                  1.908,                 1.3283,                 1.7567,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.1821,                 0.7895,                 1.1924,                0.73296,                0.61547,                0.66003,                0.32901,                 1.9074,                 1.3209,                 1.7543,             0.00037805,             0.00037805,             0.00037805
                     61,                 1.1832,                0.78609,                  1.189,                0.68774,                0.65757,                0.67301,                0.31649,                 1.9365,                  1.343,                 1.7613,             0.00036905,             0.00036905,             0.00036905
                     62,                 1.1712,                 0.7814,                 1.1871,                0.73361,                0.59081,                0.65413,                0.31793,                  1.916,                 1.3529,                 1.7543,             0.00036005,             0.00036005,             0.00036005
                     63,                 1.1685,                0.77118,                 1.1825,                0.73606,                0.61154,                0.67176,                0.32453,                 1.9218,                 1.3256,                 1.7504,             0.00035106,             0.00035106,             0.00035106
                     64,                 1.1657,                 0.7727,                 1.1798,                0.64513,                0.65267,                0.65041,                0.31921,                 1.9183,                 1.3349,                 1.7478,             0.00034206,             0.00034206,             0.00034206
                     65,                 1.1648,                0.77233,                 1.1767,                 0.6952,                 0.6158,                 0.6613,                0.32305,                 1.9055,                 1.3462,                 1.7367,             0.00033306,             0.00033306,             0.00033306
                     66,                 1.1483,                0.75805,                 1.1706,                0.73757,                0.60254,                0.67055,                0.32518,                 1.9224,                 1.3397,                 1.7497,             0.00032406,             0.00032406,             0.00032406
                     67,                 1.1639,                0.76672,                 1.1704,                0.74449,                0.59825,                0.66581,                0.32781,                 1.9356,                  1.352,                 1.7612,             0.00031506,             0.00031506,             0.00031506
                     68,                 1.1466,                0.75677,                 1.1676,                0.75111,                0.57446,                0.64948,                 0.3191,                  1.942,                  1.343,                 1.7711,             0.00030606,             0.00030606,             0.00030606
                     69,                 1.1384,                0.74683,                   1.16,                0.72653,                 0.6026,                0.65611,                0.32109,                 1.9402,                 1.3489,                 1.7767,             0.00029706,             0.00029706,             0.00029706
                     70,                 1.1366,                0.75086,                 1.1628,                0.69265,                0.62504,                0.66317,                0.32333,                 1.9077,                 1.3275,                  1.741,             0.00028806,             0.00028806,             0.00028806
                     71,                  1.129,                0.73636,                 1.1534,                0.71953,                0.59797,                0.64713,                0.32377,                 1.9131,                 1.3448,                 1.7564,             0.00027906,             0.00027906,             0.00027906
                     72,                 1.1237,                0.73753,                 1.1518,                0.74868,                0.58733,                0.64163,                 0.3228,                 1.9252,                 1.3634,                 1.7558,             0.00027006,             0.00027006,             0.00027006
                     73,                 1.1208,                0.72857,                 1.1525,                0.73329,                0.60399,                0.65141,                0.32218,                 1.9155,                  1.353,                 1.7542,             0.00026106,             0.00026106,             0.00026106
